Full Name,First Name,Last Name,Headline,Bio,Reference
CAPTAIN MARK KELLY,CAPTAIN,MARK KELLY,"Astronaut, NASA","Commander of Space Shuttle Endeavour's Final Mission & Space and Aviation Contributor for NBC News/MSNBC
Highly decorated American astronaut, Captain Mark Kelly continues to secure his place in history, partnering with his identical twin brother, Scott from the ground in a historic yearlong expedition and unprecedented NASA study on how space affects the human body. As the Space and Aviation Contributor for NBC News and MSNBC, he has provided the world with insider perspective and intimate coverage of the groundbreaking yearlong experiment.
Already an experienced aviator and retired US Navy Captain, Kelly began his career as an astronaut in 1996. During his illustrious career with NASA, he spent more than 50 days in space and commanded both the Space Shuttle Endeavour, including its final flight in May 2011, and Space Shuttle Discovery, and is one of only two individuals who have visited the International Space Station on four different occasions.
Kelly is also a #1 New York Times best-selling author and a founder of World View Enterprises, a company pioneering a new frontier at the edge of space.
In January 2011, Kelly became the center of international attention after the assassination attempt on his wife, former US Congresswoman Gabrielle Giffords. Their story captivated the nation and resulted in the couple becoming an unequivocal symbol of strength and perseverance.
An American hero who exemplifies effective leadership and courage under pressure, Kelly offers audiences insights drawn from his various and extensive experiences, from leading teams in some of the most dynamic environments imaginable, to the thrill of spaceflight and making history, to the importance of commitment to career and family, in order to truly define and achieve success.",https://www.salesforce.com/dreamforce/DF16/keynotes-mkelly/
BILLIE JEAN KING,BILLIE,JEAN KING,Sports Icon & Humanitarian,"Named one of the “100 Most Important Americans of the 20th Century” by Life
 magazine and a 2009 recipient of the Presidential Medal of Freedom, Billie Jean King is the founder of the Billie Jean King Leadership Initiative and the co-founder of World TeamTennis.


She has long been a pioneer for equality and social justice. In 2014, in partnership with Teneo, she launched the Billie Jean King Leadership Initiative to address inclusion and diversity issues in the workplace. In 2016 she addressed both the National Football League and FIFA, the international governing body of soccer, on issues related to gender equality and inclusion.


King grew up playing tennis in the California public parks and won 39 Grand Slam titles during her career. She helped form the Virginia Slims Series and founded the Women’s Tennis Association. She defeated Bobby Riggs in one of the greatest moments in sports history – the Battle of the Sexes on Sept. 20, 1973.


In 1974 King co-founded World Team Tennis (WTT), the revolutionary professional tennis league. She also founded the Women’s Tennis Association and the Women’s Sports Foundation. In August 2006, the National Tennis Center, home of the US Open, was renamed the USTA Billie Jean King National Tennis Center in honor of her accomplishments on and off the court. In 2014 President Obama named King to the Presidential Delegation for the Winter Olympics in Sochi, Russia. King serves on the boards of the Women’s Sports Foundation, the Andy Roddick Foundation, the Elton John AIDS Foundation and is a member of the President’s Council on Fitness, Sports and Nutrition.",https://www.salesforce.com/dreamforce/DF16/keynotes-king
ROBIN L. WASHINGTON,ROBIN,L. WASHINGTON,"Executive Vice President and Chief Financial Officer, Gilead Sciences, Inc.","Ms. Washington joined Gilead, a global biopharmaceutical company, in 2008 and is currently Executive Vice President and Chief Financial Officer where she oversees the Finance and Information Technology organizations.  Ms. Washington was previously Chief Financial Officer of Hyperion Solutions, which was acquired by Oracle Corporation in March 2007.  Prior to that, she served in a number of executive positions with PeopleSoft, most recently in the role of Senior Vice President and Corporate Controller.  Ms. Washington previously served on the Board of Directors of Tektronix, Inc. (acquired by Danaher) and MIPS Technologies (acquired by Imagination), and currently is a member of the Board of Directors of Honeywell International, Salesforce.com, UCSF Benioff Children’s Hospital Oakland, and the Board of Visitors Graziadio School of Business and Management, Pepperdine University. 
Ms. Washington is a certified public accountant and holds a bachelor’s degree in business administration from the University of Michigan and a MBA from Pepperdine University.  ",https://www.salesforce.com/dreamforce/DF16/keynotes-washington
GEOFFREY WEST,GEOFFREY,WEST,"Distinguished Professor & Former President, Santa Fe Institute","Geoffrey West is Distinguished Professor and former President of the Santa Fe Institute, and Associate Fellow of Oxford University’s Martin School. His BA is from Cambridge and PhD from Stanford where he later returned to join the faculty. West is a theoretical physicist whose primary interests have been in fundamental questions ranging from elementary particles and their cosmological implications to universal scaling laws in biology and developing a quantitative science of cities, companies and global sustainability. His work is motivated by the search for “simplicity underlying complexity”. His research includes metabolism, growth, aging & death, sleep, cancer and ecosystems, the dynamics of cities and companies, rates of growth and innovation, and the accelerating pace of life. His more recent work focuses on developing a “science of cities and companies” for understanding the their organization, growth and dynamics including the roles of innovation and diversity.
West has given many academic seminars and colloquia world-wide as well as many lectures at high profile events including Davos and TED. Among his awards are the Mercer Prize from the Ecological Society of America, the Weldon Prize for Mathematical Biology, the Glenn Award for Aging research and the Szilard Award from the American Physical Society. He has edited several books and is a Fellow of the American Physical Society. He has been featured in many publications world-wide including The New York Times, Financial Times, Wired, Time, The Economist and Scientific American and participated in television productions including Nova, National Geographic and the BBC. His public service includes serving on the Council of the World Economic Forum. His work was selected as a breakthrough idea by the Harvard Business Review in 2006 and he was selected for Time magazine's list of ""100 Most Influential People in the World"" in 2007.",https://www.salesforce.com/dreamforce/DF16/keynotes-west
ANNE-MARIE SLAUGHTER,ANNE-MARIE,SLAUGHTER,"President and CEO, New America","Anne-Marie Slaughter is the President and CEO of New America and the Bert G. Kerstetter ’66 University Professor Emerita of Politics and International Affairs at Princeton University. From 2009-2011 she served as the director of Policy Planning for the United States Department of State, the first woman to hold that position. Prior to her government service, Dr. Slaughter was the Dean of Princeton’s Woodrow Wilson School of Public and International Affairs from 2002–2009 and the J. Sinclair Armstrong Professor of International, Foreign, and Comparative Law at Harvard Law School from 1994-2002. She has written or edited seven books, including “Unfinished Business: Women Men Work Family”, “A New World Order”, and “The Idea That Is America: Keeping Faith with Our Values in a Dangerous World”, and is a frequent contributor to a number of publications, including The Atlantic, Financial Times, and Project Syndicate. In 2012, she published “Why Women Still Can’t Have It All,” in The Atlantic, which quickly became the most read article in the history of the magazine and helped spark a renewed national debate on the continued obstacles to genuine full male-female equality. She is married to Professor Andrew Moravcsik; they live in Princeton with their two sons.",https://www.salesforce.com/dreamforce/DF16/keynotes-slaughter
Daniel Goleman,Daniel,Goleman,"Author, EMOTIONAL INTELLIGENCE and Psychologist","Psychologist and author of Emotional Intelligence and Focus, Daniel Goleman has transformed the way the world educates children, relates to family and friends, and conducts business. The Wall Street Journal ranked him one of the 10 most influential business thinkers.
His 2014 bestseller, Focus: The Hidden Driver of Excellence, argues that leadership that gets results demands a triple focus: on our ourselves; on others, for our relationships; and on the outer forces that shape organizations and society. Dr. Goleman's ""The Focused Leader"" won the 2013 HBR McKinsey Award, given each year for the best article in Harvard Business Review.
In his latest book, A Force for Good: The Dalai Lama's Vision for Our World, Dr. Goleman — who was personally selected by the Dalai Lama — combines the Dalai Lama’s key teachings, empirical evidence, and true accounts of people putting his lessons into practice, offers readers practical applications for making the world a better place.
Goleman’s Emotional Intelligence was on The New York Times best sellers list for a year-­and-­a­-half. Named one of the 25 ""Most Influential Business Management Books"" by TIME, it has been translated into 40 languages. HBR called emotional intelligence (EI) “a revolutionary, paradigm­shattering idea.” His follow-­up, Working With Emotional Intelligence, outlined the importance of EI in professional settings. 
The groundbreaking Primal Leadership: Unleashing the Power of Emotional Intelligence, which Goleman co­wrote with Richard Boyatzis and Annie McKee, unveiled scientific evidence proving that a leader’s emotional competencies have an enormous impact on an organization’s bottom line. His more recent books include Social Intelligence: The New Science of Social Relationships, Ecological Intelligence, and What Makes a Leader, a collection of articles from HBR, LinkedIn, and other business journals. 
Goleman’s work on the brain and behavioral science was nominated twice for the Pulitzer Prize and recognized with the Washburn Award and Lifetime Career Award from the American Psychological Association. A former science journalist for The New York Times, he was named to the 2011 and 2013 Thinkers50 and a top business guru by Accenture Institute for Strategic Change. His article “What Makes a Leader?” remains the most requested reprint in the history of Harvard Business Review.",https://www.salesforce.com/dreamforce/DF16/keynotes-goleman/
LILLY LEDBETTER,LILLY,LEDBETTER,"Equal Pay for Equal Work, Activist",Crusader for women’s rights in the workplace and namesake of the Ledbetter Fair Pay Restoration Act. Author of Grace and Grit: My Fight for Equal Pay and Fairness at Goodyear and Beyond.,https://www.salesforce.com/dreamforce/DF16/keynotes-ledbetter/
AMANDA KAHLOW,AMANDA,KAHLOW,"CEO and Founder, 6sense","Amanda is passionate about bringing the power of predictive marketing and sales intelligence to B2B enterprise and mid-market companies. Amanda makes 6sense customers’ needs a priority, applying her proven aptitude for relationship building and sales. Prior to 6sense, Amanda spent 14 years as the CEO and founder of CI Insights, a big-data services company that used multichannel analytics to help enterprise companies generate hundreds of millions in net-new business.
The ultimate optimist, Amanda is focused on giving back to the community. An advisor to the organization, Girl Rising, Amanda is committed to their mission to educate girls in developing countries as a way to build thriving, prosperous, healthy communities and effect positive social change.",https://www.salesforce.com/dreamforce/DF16/keynotes-kahlow/
BRIGHT SIMONS,BRIGHT,SIMONS,"President, Mpedigree","Bright Simons is president of the mPedigree Network
, where he pioneered a system
 that allows consumers to instantly check whether products they buy, especially health-related products, are counterfeits or not by sending a free text message. He is honorary director of development research at IMANI; a member of the World Economic Forum's Global Agenda Councils (on Data and development), Young Global Leaders, and Technology Pioneers Communities; a TED and Ashoka fellow; and a Brain Trust member of the Evian Group at IMD. He is a recipient of numerous awards, ranging from an Archbishop Desmond Tutu Award, Marie Curie and Commonwealth Vision Grants to a PPARC Scholarship in Gamma Ray Astronomy. Bright is consulted on innovation strategy by international organizations such as the World Bank, UNECA, USAID, and the Commonwealth; and is a member of the United Nations taskforce on innovative models in healthcare and the Lancet Commission on Sub-Saharan Africa. He is a Global Fellow of the Salzburg Global Seminar, where he also served on the 2011 faculty for healthcare. He has appeared on prime time BBC shows,  been cited by the Economist magazine, and been profiled by MIT's Tech Review's as one of the world's most impressive visionaries under age 35.  Bright is furthermore a member of the Advisory Board of IC Publications, one of the world's leading publishers focused on Africa and the African diaspora; of the Microsoft for AfricaAdvisory Council; and of the Sanofi Digital and Africa 2.0 Advisory boards.",https://www.salesforce.com/dreamforce/DF16/keynotes-simons/
GEORGE COLONY,GEORGE,COLONY,"Chairman of the Board, Chief Executive Officer, Forrester","As founder, chairman, and CEO of Forrester, George is one of the most influential thought leaders in the world of business and technology. He is a trusted advisor to executives around the globe, providing context and clarity around the digital disruptions that change the way we live and work.
George founded Forrester in his basement 30 years ago. He, along with many talented and passionate colleagues, has built the company into one of the world's most successful independent research and advisory firms with locations in more than 30 countries. George personifies the Forrester experience and the company's values with direct, honest advice. ""When I meet with a client, I have one mission,"" George has said. ""To tell them something they don't know.""
Throughout his career, George has made provocative, tenacious, and groundbreaking calls about business and technology. These include the birth of client/server computing, the dot-com implosion, the rise of social computing, the transition from IT to BT (business technology), and the extended Internet connecting the physical world of things to the digital world of information. He has described the business opportunities presented by the App Internet, the new computing model combining the power of local devices with the scale of the cloud. ""As the Web becomes the AM radio of digital, the mobile App Internet will rise,"" George has written. ""This market will be dominated by two or three ecosystems — semiclosed worlds built on a closely fitting set of apps, phones, tablets, computers, operating systems, and partners.""
George has addressed international audiences in a number of prestigious settings including the World Economic Forum meetings in Davos, Switzerland and Dalian, China; the Fortune Brainstorm Tech conference; the SBS Seoul Digital Forum; the United Nations' ""The Net World Order: Bridging the Global Digital Divide"" conference; the ICT World Forum @CeBIT; Le Web; Cambridge University; The Commonwealth Club of California, and the Churchill Club. He has also lectured at the MIT Sloan School of Management.
George's analysis has been quoted in The Wall Street Journal, The Economist, The New York Times, BusinessWeek, the Financial Times, and numerous other media outlets.
You can read George's latest thinking on his blog, The Counterintuitive CEO, or on Twitter at @gcolony.
George is a graduate of Harvard University.",https://www.salesforce.com/dreamforce/DF16/keynotes-colony
SCOTT FARQUHAR,SCOTT,FARQUHAR,"Co-founder and Co-CEO, Atlassian","Scott Farquhar is the co-founder and co-CEO of Atlassian, a collaboration software company that helps teams organize, discuss and complete shared work. More than 60,000 large and small organizations use Atlassian’s tracking, collaboration, communication, service management and development products to work smarter and deliver quality results on time.
Atlassian donates 1% of profit, product, equity and employee time to charity, helping thousands of children in developing countries receive an education. In 2011, Scott was awarded the Corporate Social Responsibility Award by the Young Presidents’ Organization (YPO). In 2015, Scott helped spearhead Pledge 1%, a corporate philanthropy movement dedicated to making the community a key stakeholder in every business. To date, more than 700 companies in more than 20 countries have joined the movement.
Scott was the youngest person ever to be awarded the ‘Australian Entrepreneur of the Year’ in 2006 by Ernst & Young alongside co-founder and co-CEO Mike Cannon-Brookes. He holds a Bachelor of Science in business information technology from the University of New South Wales, Australia.",https://www.salesforce.com/dreamforce/DF16/keynotes-farquhar
