Name,Type,City,State or Country,Offical_Web,Introduction,Industries,Campaign,Transactions,Location,Team,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate:Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services

Retail:Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Retail Distributors; Specialty Stores

Technology:Application Software; Communications Equipment; Computer Hardware; Computer Storage & Peripherals; Electronic Components; Electronic Equipment & Instruments; Electronic Manufacturing Services; Financial Technology; Hardware; Home Entertainment Software; Internet Software & Services; Semiconductor Equipment; Semiconductors; Software; Systems Software; Technology Distributors

Telecommunications:Alternative Carriers; Integrated Telecommunication Services; Wireless Telecommunication Services

Show Less",[],,"Headquarters HQ
200 Bay Street, 19th Floor
Toronto, ON M5J 2P9
CA
Satellite 
175 West Jackson Boulevard, 20th Floor
Chicago, IL 60604
US","Devin Wagner

Hussein Poonjani
Director

Nathan Snowie
Director",https://network.axial.net/company/grant-thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

BDO Canada LLP,Accountant ,Toronto, ON,http://www.bdo.ca/en/pages/default.aspx,"At BDO, we believe that delivering exceptional client service is the foundation of our being a trusted advisor. With more than 100 offices from Vancouver to St. Johnäó»s, our 3,000 empowered professionals are committed to providing clients with practical advice and insight, tailored to their industry, unique priorities and ambitions. Through clear and open conversations, and with a focus on delivering value for money, we strive to exceed the expectations of our more than 50,000 business clients.",Generalist,[],,"Headquarters HQ
123 Front Street West, Suite 1200
Toronto, ON M5J 2M2
CA","Cathal O'Looney
Corporate Recovery Manager",https://network.axial.net/company/bdo-canada-limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ensors Chartered Accountants,Accountant ,Ipswich, Suffolk,http://www.ensors.co.uk/business/corporate-finance.aspx,"Our dedicated Corporate Finance team only work on a select number of projects providing the speed of response that is essential.The team has experience across a wide range of industry sectors and sizes of business. We do not have a minimum or maximum deal size that we will advise on äóñ we take each deal on its merits.Whether you are looking to acquire or sell, undertake a management buy-out or buy-in, diversify or divest, re-finance or re-structure, we offer the expertise to help you achieve your aims. We know the market and the people to help you complete the deal. Most importantly, we're approachable, friendly and down to earth, so you won't be swamped with jargon.Dedicated team offering expert advice and support for all your corporate finance needs including business sales, acquisitions, MBO's/MBI's, financial modelling and financial due diligence and valuations.We take the strain. You can rely on us to push the project forward, leaving you time to concentrate on running your business.Excellent market understanding and contacts.Approachable and friendly but with an absolute focus on getting the deals done.

    Show Less","Business Services:Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services

Consumer Goods:Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Soft Drinks; Tobacco

Consumer Services:Casino & Gaming Operators; Education Services; Hotel, Resort & Cruise Line Operators; Leisure Facilities; Restaurants; Specialized Consumer Services

Distribution:Air Freight & Logistics; Food Distributors; Marine Shipping; Retail Distributors; Technology Distributors

Energy & Utilities:Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities

Financial Services:Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Insurance; Insurance Brokers; Investment Banking & Brokerage; Life & Health Insurance; Mortgage Banker; Mortgage Broker; Mortgage Processors & Servicers; Multi-Sector Holdings; Multi-line Insurance; Other Diversified Financial Services; Payday Lenders; Property & Casualty Insurance; Regional Banks; Reinsurance; Specialized Finance; Thrifts & S&Ls

Health Care:Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care

Industrials:Aerospace & Defense; Airlines; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking

Life Sciences:Biotechnology; Life Sciences Tools & Services; Nutraceuticals; Pharmaceuticals

Manufacturing:Automobile Manufacturers; Building Products; Computer Storage & Peripherals; Construction Materials; Consumer Electronics; Forest Products; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Products; Personal Products; Photographic Products; Textiles; Tires & Rubber

Materials:Aluminum Products; Chemicals; Commodity Chemicals; Containers & Packaging; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Gold Products; Industrial Gases; Metal Ore Mining; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products; Paper Packaging; Specialty Chemicals; Steel Products

Media:Broadcasting; Cable & Satellite; Digital & Social Media; Movies & Entertainment; Publishing

Real Estate:Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services

Retail:Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Specialty Stores

Technology:Application Software; Communications Equipment; Computer Hardware; Electronic Components; Electronic Equipment & Instruments; Electronic Manufacturing Services; Financial Technology; Hardware; Home Entertainment Software; Internet Software & Services; Semiconductor Equipment; Semiconductors; Software; Systems Software

Telecommunications:Alternative Carriers; Integrated Telecommunication Services; Wireless Telecommunication Services

Show Less",[],,"Headquarters HQ
Cardinal House , 46 St Nicholas Street 
Ipswich, Suffolk IP1 1TT
GB","Neil Meekings

Samantha Collins",https://network.axial.net/company/ensors-chartered-accountants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Carribean's Premier League,Accountant ,Coral Springs, FL,https://network.axial.net/company/marc-anthony-miceli-p-a,"The CPL is an International Professional menäó»s Premier Division outdoor Football League that will be sanctioned by the Federation International de Football Association (FIFA), which is the international governing organization for the sport of football. The goal of the Caribbean Premier League is to provide a highly competitive menäó»s professional football League in the Caribbean, playing a minimum of 460 games. The teams will be comprised of professional players who have played at the highest levels of football, including International, National, and Division I.Œæ","Business Services:Data Processing & Outsourced Services; Diversified Support Services; Research & Consulting Services

Consumer Services:Restaurants

Financial Services:Consumer Finance; Credit & Debit Card Issuers; Insurance; Multi-line Insurance

Manufacturing:Apparel, Accessories & Luxury Goods; Light Manufacturing

Real Estate:Real Estate Services

Show Less",[],"
September 2004
Princeton Corridor Realty Inc. was acquired by Long & Foster Companies.

Industries
Real Estate Services
","Headquarters HQ
4613 N. University Drive, Suite 259
Coral Springs, FL 33067
US","Marc A. Miceli
Enrolled Agent / Real Estate Broker",https://network.axial.net/company/marc-anthony-miceli-p-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Doeren Mayhew,Accountant ,Troy, MI,http://www.doeren.com,"Founded in 1932, Doeren Mayhew is an award-winning, top 100 CPA firm that goes beyond traditional accounting to help mid-sized companies grow and prosper.With CPAs located in Miami, Florida; Troy, Michigan; Charlotte, North Carolina, and Houston and Dallas, Texas , we serve manufacturers, contractors and builders, service providers, technology companies, retailers and restaurants, wholesalers, distributors, auto dealers, financial institutions, energy companies and governmental/non-profit organizations with a full range of audit and accounting, tax, merger and acquisition, valuation and litigation support, payroll, wealth management and business advisory services.Combining a deeply rooted history with a progressive mindset, we offer insight into the business, oversight to ensure best practices and foresight for whatäó»s ahead.

    Show Less",[],[],,"Headquarters HQ
305 West Big Beaver Road, Suite 200
Troy, MI 48084
US","Claudio Calado

David Praet",https://network.axial.net/company/doeren-mayhew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Accountfully,Accountant ,Charleston, SC,http://www.accountfully.com,[],[],[],,"Headquarters HQ
654 King St., Suite D
Charleston, SC 29403
US",Brad Ebenhoeh,https://network.axial.net/company/accountfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Grupo CFE - Consultoria integral financiera, legal e impositiva",Accountant ,Guatemala, Guatemala,https://network.axial.net/company/grupo-cfe-consultoria-integral-financiera-legal-e-impositiva,"Business valuations in all central America, Due Diligences, tax planning and compliance, tax planning, audit of financial statements, negotiation of businesses","Consumer Goods:Apparel, Accessories & Luxury Goods; Consumer Durables & Apparel; Footwear; Home Furnishings; Household & Personal Products; Household Products; Textiles

Consumer Services:Education Services

Energy & Utilities:Alternative Energy; Alternative Energy Production

Manufacturing:Apparel, Accessories & Luxury Goods; Construction Materials; Forest Products; Heavy Manufacturing; Light Manufacturing; Textiles

Real Estate:Diversified Real Estate Activities; Real Estate Development

Show Less",[],,"Headquarters HQ
Avenida reforma 6-39 zona 10 , Edificio Guayacan oficina 802
Guatemala, Guatemala 01010
GT",Ruddy Santos,https://network.axial.net/company/grupo-cfe-consultoria-integral-financiera-legal-e-impositiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Moore Stephens Shanghai,Accountant ,Beijing, SHANGHAI,http://www.dahua-cpa.com/,"Moore Stephens Shanghai is a full service accounting firm with partner offices in more than 100 countries worldwide. Our Global China Desk team consists of Chinese, European and American chartered accountants and tax advisors. We assist our international clients across a variety of services: Audit & Forensic Accounting: We perform audits and reviews which are tailored to your needs, including: controls reviews, fraud investigation, and statutory audits of your CAS, IFRS or GAAP financial statements.  SmartSourcing: We offer cost-efficient complete solutions for accounting, bookkeeping, accounts payable, payroll, internal controls and expense processing. Tax & Regulation: We provide solutions for corporate tax and personal income tax, be it international or domestic. Other services Our corporate finance team provides advisory services in valuation, mergers and acquisitions, cross-border transactions, financial forecast simulations and balance sheet restructuring. Our interim solutions team can provide temporary placement services for CFO's, controllers and accountants.We believe in building our workforce on long lasting loyalty, providing clients with all the convenience of continuity. The Global China Desk consists of experienced chartered accountants and certified tax advisers.  Feel free to contact us for any additional information.

    Show Less",Generalist,[],,"Headquarters HQ
No. 16 Xi Si Huan Zhong Road, 12th/F, Bldg 7
Beijing, SHANGHAI 100039
CN","Scott Krivokopich
Manager",https://network.axial.net/company/moore-stephens-shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chrysalis Business Partners LLC,Accountant ,Scottsdale, AZ,http://www.chrysalisbp.com,"äóìChrysalisäóù refers to the stage of a butterflyäó»s development when growth and transformation occurs. Similarly, Chrysalis Business Partners works with small to medium sized enterprises during their initial stages that have great potential for growth surrounds them with the experience, advice, and networking they need to grow and helps them determine when to spread their wings as they emerge as thriving businesses.","Health Care:Health Care Services

Life Sciences:Nutraceuticals

Manufacturing:Building Products; Electronic Manufacturing Services; Heavy Manufacturing

Materials:Chemicals; Diversified Chemicals; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Paper & Forest Products; Paper Products; Specialty Chemicals; Steel Products

Retail:Internet Retail

Show Less",[],,"Headquarters HQ
7418 E. Helm Drive, 
Scottsdale, AZ 85260
US","Bill Burke
Managing Partner",https://network.axial.net/company/chrysalis-business-partners-llc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

AltResources ,Accountant ,New York, NY,http://www.altrllc.com/,"AltResources is a specialized private equity fund administrator with a difference. We combine leading-edge innovative service with a level of quality and transparency unmatched in the industry.   Our client base includes private equity funds, closed-end committed capital structures (real estate funds, fund of funds, secondary / mezzanine / infrastructure / energy funds), and limited partner investment programs. All demand elite administration and exceptional communication capabilities for their investors, a challenge we can meet head on.   AltResources is committed to delivering this superior operational administration and reporting through dedication and focus on the service model's underlying critical components: 1) attracting and retaining knowledgeable and motivated staff, 2) selecting and maintaining up-to-date, integrated industry-specific technology, and 3) defining and enforcing a systematic control and reporting environment.   Please visit us at www.altrllc.com

    Show Less","Business Services:Office Services & Supplies; Research & Consulting Services

Real Estate:Real Estate Services",[],,"Headquarters HQ
260 Madison Avenue, 8th Floor
New York, NY 10016
US","John Wiencek
Managing Director

Nicholas Schiavo
Accounting Director",https://network.axial.net/company/altresources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Advantage Accountancy & Advisory,Accountant ,"Headquarters HQ
Sophia House, 28 Cathedral Road
Cardiff,  CF11 9LJ
GB",[],http://www.adv-accountancy.co.uk/,"Advantage Accountancy & Advisory LLP is a firm of Chartered Certified Accountants based in Cardiff, South Wales. The firm has two partners, who between them have a combined experience of over 40 years in Accountancy, Corporate Finance and Taxation.  Advantage Accountancy & Advisory LLP is a practice that is geared towards you äóñyour needs, your questions and your future.  Our clients are at the heart of our business and for that reason we strive to understand their needs and their challenges, so that opportunities and risks can be identified at an early stage. We are passionate about what we do and how we can share our combined knowledge and experience to ensure that your financial affairs are cared for.

    Show Less","Business Services:Advertising

Distribution:Air Freight & Logistics; Food Distributors; Marine Shipping; Retail Distributors; Technology Distributors; Third Party Logistics (3PL)

Energy & Utilities:Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities

Financial Services:Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Insurance; Insurance Brokers; Investment Banking & Brokerage; Life & Health Insurance; Mortgage Banker; Mortgage Broker; Mortgage Processors & Servicers; Multi-Sector Holdings; Multi-line Insurance; Other Diversified Financial Services; Payday Lenders; Payment Processors; Property & Casualty Insurance; Regional Banks; Reinsurance; Specialized Finance; Thrifts & S&Ls

Health Care:Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care

Industrials:Aerospace & Defense; Airlines; Airport Services; Building Products; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Railroads; Safety Equipment; Trading Companies & Distributors; Transportation; Trucking

Life Sciences:Biotechnology; Life Sciences Tools & Services; Nutraceuticals; Pharmaceuticals

Manufacturing:Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automobile Manufacturers; Construction Materials; Consumer Electronics; Forest Products; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Products; Personal Products; Photographic Products; Textiles; Tires & Rubber

Materials:Aluminum Products; Chemicals; Commodity Chemicals; Containers & Packaging; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Gold Products; Industrial Gases; Metal Ore Mining; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products; Paper Packaging; Specialty Chemicals; Steel Products

Media:Broadcasting; Cable & Satellite; Digital & Social Media; Movies & Entertainment; Publishing

Real Estate:Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services

Retail:Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Specialty Stores

Technology:Application Software; Communications Equipment; Computer Hardware; Computer Storage & Peripherals; Electronic Components; Electronic Equipment & Instruments; Electronic Manufacturing Services; Financial Technology; Hardware; Home Entertainment Software; Internet Software & Services; Semiconductor Equipment; Semiconductors; Software; Systems Software

Telecommunications:Alternative Carriers; Integrated Telecommunication Services; Wireless Telecommunication Services

Show Less",[],,"Headquarters HQ
Sophia House, 28 Cathedral Road
Cardiff,  CF11 9LJ
GB",Mark Hislop,https://network.axial.net/company/advantage-accountancy-advisory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Menzies LLP,Accountant ,"Headquarters HQ
Lynton House 7-12 Tavistock Square, 
London,  WC1H 9LT
GB",[],http://www.menzies.co.uk/,"From our origins in Surrey, we have grown and now have offices in London and Hampshire. Throughout this growth, we have maintained our commitment to helping privately owned businesses. Our approach is to understand your personal ambitions, your business and the environment in which you compete. We believe this provides our clients with a better service.A key strength of our business is our size. We're large enough for you to benefit from dedicated specialist teams, deep sector knowledge and international alliances, yet small enough to still view individual client relationships as our most valuable asset.We have strength and depth in all the major disciplines, and some of the not so major ones too. But what really makes us stand out from other firms is our commercial insight, our business understanding and our commitment to delivering results for our clients.Resourcefulness, broad commercial knowledge and an understanding of diverse stakeholder priorities are the defining traits of Menzies corporate finance service.We are an integrated team and will provide you with director-level advice and support. Working closely with other relevant teams including corporate tax, accountancy, private client and business advisory specialists, we ensure that at all times the advice we give encompasses all your needs.As the corporate finance arm of a mid-tier practice we are able to provide the high level of professional service more often associated with larger London practices, but at a more cost-effective level. We take a quality-driven, proactive and personal approach to advising on transactions.What makes us differentWe are sensitive to the cultural, personal and emotional aspects of every corporate transaction, and combine this with an understanding of its wider strategic context to deliver a successful outcome for our clients.We take a real interest in your business and what you want to achieve. Our empathetic and dedicated team of corporate finance professionals will communicate effectively with all parties to the transaction to ensure that it remains on course.We also believe that we should bear some of the risk in a transaction - contingent fee arrangements motivate our team to see transactions through to completion at an acceptable price.We complete around 50 deals a year, most of them between Œ£1 million and Œ£30 million but comfortably handle transactions outside this range.Services We provide a comprehensive range of corporate finance services to privately owned businesses.Mergers & acquisitionsDeveloping an acquisition strategy, assessing targets and funding an acquisitionAdvice on tax and commercial aspects of deal structuresNegotiating with vendors and due diligenceImplementation of post-acquisition plan.Management Buy-Outs/InsAssessing the viability of the MBO proposition and business planBusiness valuation, deal structure, securing finance and tax planningProject management of the transaction throughout.DisposalsGrooming the business for sale and developing an exit strategyResearching and making confidential approaches to potential buyersNegotiating and project managing the transactionProviding you with taxation and financial planning advice through our specialist teams. We can also help withFundraisingTransaction servicesValuations.Menzies Corporate Finance Limited is accredited by a number of the main UK bank panels.Please contact a member of our team to arrange a no obligation initial consultation.Menzies Corporate Finance Limited is authorised and regulated by the Financial Services Authority for the conduct of corporate finance activities.

    Show Less","Business Services:Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services

Consumer Goods:Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Soft Drinks; Tobacco

Consumer Services:Casino & Gaming Operators; Education Services; Hotel, Resort & Cruise Line Operators; Leisure Facilities; Restaurants; Specialized Consumer Services

Distribution:Air Freight & Logistics; Food Distributors; Marine Shipping; Retail Distributors; Technology Distributors

Energy & Utilities:Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities

Financial Services:Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Insurance; Insurance Brokers; Investment Banking & Brokerage; Life & Health Insurance; Mortgage Banker; Mortgage Broker; Mortgage Processors & Servicers; Multi-Sector Holdings; Multi-line Insurance; Other Diversified Financial Services; Payday Lenders; Property & Casualty Insurance; Regional Banks; Reinsurance; Specialized Finance; Thrifts & S&Ls

Health Care:Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care

Industrials:Aerospace & Defense; Airlines; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking

Life Sciences:Biotechnology; Life Sciences Tools & Services; Nutraceuticals; Pharmaceuticals

Manufacturing:Automobile Manufacturers; Building Products; Computer Storage & Peripherals; Construction Materials; Consumer Electronics; Forest Products; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Products; Personal Products; Photographic Products; Textiles; Tires & Rubber

Materials:Aluminum Products; Chemicals; Commodity Chemicals; Containers & Packaging; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Gold Products; Industrial Gases; Metal Ore Mining; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products; Paper Packaging; Specialty Chemicals; Steel Products

Media:Broadcasting; Cable & Satellite; Digital & Social Media; Movies & Entertainment; Publishing

Real Estate:Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services

Retail:Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Specialty Stores

Technology:Application Software; Communications Equipment; Computer Hardware; Electronic Components; Electronic Equipment & Instruments; Electronic Manufacturing Services; Financial Technology; Hardware; Home Entertainment Software; Internet Software & Services; Semiconductor Equipment; Semiconductors; Software; Systems Software

Telecommunications:Alternative Carriers; Integrated Telecommunication Services; Wireless Telecommunication Services

Show Less",[],,"Headquarters HQ
Lynton House 7-12 Tavistock Square, 
London,  WC1H 9LT
GB",John Foundling,https://network.axial.net/company/menzies-llp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Couzelis & Company,Accountant ,Richmond, BC,http://www.couzelis.com/,[],[],[],,"Headquarters HQ
6060 8171 Ackroyd RD, 
Richmond, BC V6X3K1
CA",Chris Couzelis,https://network.axial.net/company/couzelis-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2nd Opinion Financial,Accountant ,Sacramento, CA,http://www.2ndopinionllc.com,I'm a independent accountant looking to help a colleague find a large business broker or small IB for his software company. Looking to screen out large IB's and small mom and pop shops.,Generalist,[],,"Headquarters HQ
