Full Name,First Name,Last Name,Headline,Bio,Reference
Conrad  MacKerron,Conrad,MacKerron,,"Conrad MacKerron is Senior Vice President at As You Sow.  He manages corporate dialogues and shareholder advocacy initiatives on cutting-edge social and environmental issues. He founded the As You Sow Corporate Social Responsibility Program in 1997. Mr. MacKerron is former senior social researcher at Piper Jaffray Philanthropic & Social Investment Consulting, and Social Research Director at Progressive Asset Management. He also served as Senior Analyst, Energy and Environment, at the Investor Responsibility Research Center (now part of RiskMetrics Group). Formerly a journalist, he was Washington Bureau Chief for Chemical Week. In 2007, he received the SRI Service Award from SIF for â€œoutstanding contributions to the SRI community.â€ù ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=268
Kerby  Meyers,Kerby,Meyers,"PrincipalThe Communications Refinery, Inc.Kerby Meyersâ€™ Denver-based firm, The Communications Refinery, PBC, is a Certified B Corporation.  He helps further the work of companies, organizations and firms looking to positively impact the communities they serve. Within the SRI space, that translates into developing effective messaging, crafting solid stakeholder and shareholder communications and advising on business strategy. Mr. Meyers arrived in the SRI community after a number of years of involvement with the conventional financial services world.",,http://www.sriconference.com/agenda/speaker-bio.html?objectID=269
Najada  Kumbuli,Najada,Kumbuli,"Officer, Strategic InitiativesCalvert Foundation WIN-WIN StrategyNajada Kumbuli is Officer, Strategic Initiatives at Calvert Foundation.  She works on the design, management, partnerships and communications around new investment initiatives and incubator portfolios within Calvert Foundationâ€™s Strategic Initiatives mandate. She is responsible for the origination of new investments and management of credit quality within the incubator portfolios. This portfolio is comprised of microfinance institutions and intermediary vehicles, ventures in sustainable agriculture, and small to medium enterprises providing access to clean water and renewable energy to the base of the pyramid.  Prior to joining Calvert Foundation, Ms. Kumbuli worked for the Central and Eastern European team at the National Democratic Institute for International Affairs, and the Community Reinvestment Fund.",,http://www.sriconference.com/agenda/speaker-bio.html?objectID=264
Julie  Gorte,Julie,Gorte,"Senior Vice President Sustainable InvestingPax World Management LLCJulie Fox Gorte, Ph.D. is the Senior Vice President for Sustainable Investing at Pax World Management LLC. She oversees Environmental, Social and Governance-related research on prospective and current investments as well as Paxâ€™s shareholder advocacy and work on public policy advocacy.  Dr. Gorte serves as the co-chair of the Asset Management Working Group of the United Nations Environment Programme Finance Initiatives and is on the steering committee for UNEPâ€™s workstream on biodiversity.  Previously, Dr. Gorte served as Vice President and Chief Social Investment Strategist at Calvert. Prior to Calvert, she spent nearly 14 years at the Congressional Office of Technology Assessment, The Wilderness Society, with the Environmental Protection Agency.",,http://www.sriconference.com/agenda/speaker-bio.html?objectID=265
Lori  Chatman,Lori,Chatman,PresidentEnterprise Community Loan Fund,"Lori Chatman is the president of the Enterprise Community Loan Fund and a senior vice president of Enterprise Community Partners. She oversees the daily operations of the loan fund and leads Enterpriseâ€™s efforts to raise and deploy capital through large-scale regional and local loan funds. Before joining Enterprise, Ms. Chatman was the director of lending for the Calvert Social Investment Foundation, where she managed their portfolio of loans to community development financial institutions (CDFIs), community development corporations, community service organizations and international micro finance institutions.  Ms. Chatman began her community development career with NCB Development Corporation (now Capital Impact Partners), a CDFI located in Washington, D.C. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=266
Rebecca  Regan,Rebecca,Regan,"Executive Vice PresidentHousing Partnerships NetworkPresidentCapital Markets Companies","Rebecca Regan joined the Housing Partnership Network as president of the Capital Markets Companies. She develops and manages the Network's capital market relationships and oversees its neighborhood stabilization and foreclosure prevention enterprises. She also plays a critical role in business collaboration and peer exchange among the network's high-performing affordable housing organizations and CDFIs.  Ms. Regan previously served as chief operating officer for Boston Community Capital and president of its Loan Fund, a $125 million loan fund focused on community development investments. Prior to joining Boston Community Capital, she held executive, real estate lending and management positions with Bank of America, Fleet Bank, Bank of Boston and BayBank.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=267
Bruce  DeBoskey,Bruce,DeBoskey,Philanthropic StrategistThe DeBoskey Group,"Bruce DeBoskey, JD, is a Colorado-based Philanthropic Strategist with The DeBoskey Group, a national consulting practice founded in 2010 to help businesses, individuals, families, and foundations design and implement thoughtful philanthropic strategies to achieve meaningful impact for themselves and the world. Mr. DeBoskey writes a nationally-syndicated column â€œOn Philanthropyâ€ù in the Denver Post, is a Teaching Fellow at Boston Collegeâ€™s Center for Corporate Citizenship, where he teaches â€œCorporate Giving: A 21st Century Approach.  Mr. DeBoskey served for nearly nine years as the Anti-Defamation Leagueâ€™s Mountain States Regional Director, and for 25 years before that, as a Colorado civil litigator.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=260
"Gov. Bill  Ritter, Jr.",Gov.,"Bill  Ritter, Jr.","Director, Center for the New Energy EconomyColorado State UniversityFormer GovernorState of Colorado","Governor Bill Ritter was elected Colorado's 41st governor in 2006.   During his four year term, Gov. Ritter established Colorado as a national and international leader in clean energy by building a New Energy Economy. After leaving the Governorâ€™s Office, he founded the Center for the New Energy Economy at Colorado State University, which works with state and federal policy makers to create clean energy policy throughout the country.  Governor Ritter authored the recently published book entitled, Powering Forward â€“ What Everyone Should Know about Americaâ€™s Energy Revolution (Fulcrum Publishing, 2016).",http://www.sriconference.com/agenda/speaker-bio.html?objectID=261
Eric  Fernald,Eric,Fernald,"Executive Director and Head of ESG Corporate CommunicationsMSCI ESG ResearchEric Fernald is an Executive Director at MSCI ESG Research. He is responsible for MSCI ESG Research's corporate communications and Engagement program. He also is responsible for the research methodologies for MSCI's standard ESG Indices. Mr. Fernald joined MSCI ESG Research in 2010 when MSCI acquired KLD Research & Analytics. He worked at KLD from 1995 through 2009, and was KLD's Research Director from 2004-2009. Prior to joining KLD, he worked for the Service Employees International Union (SEIU).",,http://www.sriconference.com/agenda/speaker-bio.html?objectID=262
Lisa  Woll,Lisa,Woll,Chief Executive OfficerUS SIF,"Lisa Woll has been the CEO of US SIF and the US SIF Foundation since 2006.  She is responsible for strategic planning, developing a robust policy presence, expansion and diversification of funding, launching a national conference, and creating the Center for Sustainable Investment Education.    Prior to US SIF, Ms. Woll was executive director of the International Women's Media Foundation, an organization focused on press freedom and expansion of womenâ€™s role in the media.  She also spent a decade working on childrenâ€™s human rights, and was the director of the first international study to look at the impact of the Convention on the Rights of the Child.  She directed the Washington, DC office of Save the Children. Ms. Woll is a member of the Advisory Council of the Childrenâ€™s Rights Division of Human Rights Watch.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=263
"Col. Mark  ""Puck"" Mykleby USMC(Ret.)",Col.,"Mark  ""Puck"" Mykleby USMC(Ret.)","Founding Co-director, Strategic Innovation LabCase Western Reserve University","Mark â€œPuckâ€ù Mykleby is a founder and co-director of the Strategic Innovation Lab at Case Western Reserve University. He served in the Marine Corps between 1987 and 2011.  Between 1991 and 2006, he served in five fleet fighter squadrons. In 2007, Col. Mykleby was assigned to the U.S. Special Operations Command (USSOCOM). From 2009 until mid-2011, he served as a special strategic assistant to the Chairman of the Joint Chiefs of Staff. In that capacity, he co-authored with Navy Captain Wayne Porter â€œA National Strategic Narrative,â€ù a concept and vision for a 21st century grand strategy for the nation. Col. Mykleby retired from the Marine Corps in 2011.  From 2011 until 2014, he served as a Senior Fellow at the New America Foundation, working alongside Patrick Doherty to develop the framework for a new U.S. grand strategy.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=279
Joel  Makower,Joel,Makower,"Chairman, Executive EditorGreenBiz Group, Inc.Senior FellowStrategic Innovation Lab, Case Western Reserve University","Joel Makower is chairman and executive editor of GreenBiz Group, Inc., a media and events company focusing on the intersection of sustainable business and clean technology. He hosts the annual GreenBiz forums as well as the VERGE conferences produced around the world by his company, and is principal author of GreenBizâ€™s annual â€œState of Green Businessâ€ù report. Mr. Makower also serves as a senior fellow at the Strategic Innovation Lab at Case Western Reserve University.  Along with the labâ€™s co-founders and co-directors, Mark â€œPuckâ€ù Mykleby and Patrick Doherty, he co-authored â€œThe New Grand Strategy: Restoring Americaâ€™s Prosperity, Security and Sustainability in the 21st Century.â€ù  A former nationally syndicated columnist, Makower is author of more than a dozen other books.  The Associated Press has called him â€œthe guru of green business practices.â€ù ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=278
Sean  Wright,Sean,Wright,"Manager, Corporate Partnerships ProgramEnvironmental Defense Fund","Sean Wright is a Manager in Environmental Defense Fund (EDF)â€™s Corporate Partnerships Program. In this role, he works with the natural gas sector to engage investors and business leaders to help ensure safer and cleaner development of natural gas. His primary focus is mitigating methane emissions from the natural gas supply chain. Before joining EDF, Mr. Wright was an Associate Analyst in the Equity Research Department of Credit Suisse, covering the energy and extractives industries. Previously, he worked in PricewaterhouseCoopersâ€™ Transaction Services group.  He is a Certified Public Accountant. Mr. Wright is a member of the Sustainability Accounting Standard Board (SASB)â€™s Education Review Committee.   ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=273
Celia  Mueller,Celia,Mueller,Certified Financial Planner,"Celia Mueller, CFPÂ® is a Certified Financial Planner who works with individuals, families, and small businesses.  She specializes in socially responsible financial planning and client centered planning.  Ms. Mueller offers a full range of financial products and services.  She believes financial planning should be a top priority for individuals, families, and small businesses.  Based in Portland, she provides fee-based accounts and services in all states in which Securities America is registered.  Ms. Mueller holds Series 6, 7, 63 and 65 securities licenses.  Additionally, Ms. Mueller holds a Consultant Life, Agent Life, Health & Variable Annuity license in Oregon; Agent Life and Disability license held in Washington.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=272
Rick  Ridgeway,Rick,Ridgeway,Vice President of Environmental InitiativesPatagonia,"Rick Ridgeway is Patagoniaâ€™s Vice President of Public Engagement. On his watch, the company has implemented vanguard environmental and sustainability initiatives including Freedom to Roam, Common Threads and the Footprint Chronicles.  He has also co-founded the Sustainable Apparel Coalition (SAC).  Mr. Ridgeway is recognized as one of the worldâ€™s foremost mountaineers and adventurers, making the first American ascent of K2, considered the hardest mountain in the world to climb.  He has produced and directed several documentary films, written dozens of magazine articles and six books.   National Geographic recently honored him with its â€œLifetime Achievement in Adventureâ€ù award. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=271
Ricardo  Bayon,Ricardo,Bayon,PartnerEncourage Capital,"Ricardo Bayon is a Partner and a member of the Board of Directors of Encourage Capital. He leads the water team and new business and innovation at Encourage and works across several other investment sectors. He is a member of the Investment Committee of the EKO Green Carbon Fund. Prior to co-founding EKO in 2007, Mr. Bayon helped found and served as the Managing Director of the Ecosystem Marketplace.  For nearly two decades he has specialized in issues related to finance, banking, and the environment. He has written numerous articles, publications and chapters on mitigation banking, biodiversity markets, markets for water quality, and other environmental markets. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=270
Patrick  Doherty,Patrick,Doherty,"Founding Co-director, Strategic Innovation LabCase Western Reserve University","Patrick Doherty is a founder and co-director of the Strategic Innovation Lab at Case Western Reserve University. He is a strategist focused on the intersection of macroeconomics, sustainability, and national security. Previously, Mr. Doherty was deputy director of the National Security Studies Program at the New America Foundation in Washington, D.C., where he worked with Mark â€œPuckâ€ù Mykleby to develop a coherent approach to grand strategy in the twenty-first century.  Before joining New America, Mr. Doherty was director of communications at the Center for National Policy, a senior editor at TomPaine.com, and spent more than ten years in the Middle East, Africa, the Balkans, and the Caucasus, working at the intersection of conflict and development. He was a research associate at the Harvard Negotiation Project.  ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=277
Joe  Keefe,Joe,Keefe,President and Chief Executive OfficerPax World Management LLC,"Pax World Management LLC, as well as its majority-owned subsidiary, Pax Ellevate Management LLC.  Prior to joining Pax World, he was President of NewCircle Communications. Previously, Mr. Keefe served at Calvert Group and Citizens Advisers. He has been named by Ethisphere Magazine as one of the â€œ100 Most Influential People in Business Ethicsâ€ù for five years. In 2012, he was recognized by Womenâ€™s eNews as one of â€œ21 Leaders for the 21st Century,â€ù where he was the sole male honoree.  In 2014, Mr. Keefe was honored at the United Nations as one of five recipients of the Womenâ€™s Empowerment Principles Leadership Award. In 2015, Financial Times named him one of its 10 â€œtop feminist menâ€ù for his work helping women succeed in business and beyond.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=276
Luis  Duarte,Luis,Duarte,"Investment Director, Community and Impact InvestingGary Community Investments","Luis Duarte serves as investment director at Gary Community Investments. His role includes identifying and developing public-private partnerships to foster philanthropic and market-rate investment opportunities that encompass financial returns and social impact for lower income communities in Colorado.  Mr. Duarte is a serial entrepreneur focused on developing opportunities for minorities, and solutions for environmental issues. His last venture, YoReciclo, is successfully increasing recycling rates and providing job opportunities for distressed populations.  Mr. Duarte has worked for the private and public sector. He has performed as consultant and engineer for the plastics and construction industry, and has led a 200 staff organization for the public health sector in Mexico. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=275
Heike  Reichelt,Heike,Reichelt,Head of Investor Relations and New ProductsWorld Bank,"Heike Reichelt is Head of Investor Relations and New Products at the World Bank. Her teamâ€™s responsibilities include managing relationships with bond investors and rating agencies, and developing new debt products for investors â€“ such as for climate change mitigation and adaptation through products like World Bank Green Bonds. Her team performs similar functions for the International Finance Facility for Immunisation (IFFIm), for which the World Bank acts as treasury manager. Heike has 20 years of experience in finance â€“ including the areas of export finance and capital markets.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=274
Jerome   Dodson,Jerome,Dodson,PresidentParnassus Investments,"Jerome L. Dodson is Founder and President of Parnassus Investments. He is the lead Portfolio Manager of the Parnassus Fund and the Parnassus Asia Fund and is the sole Portfolio Manager of the Parnassus Endeavor Fund. With over $16 billion in assets, Parnassus is the nationâ€™s largest mutual fund complex committed to ethical and environmental guidelines in all the funds it manages. Before founding Parnassus Investments in 1984, Mr. Dodson was President of Working Assets Money Fund, a money market fund making socially responsible investments.  From 1976 to 1982, he served as President and Chief Executive Officer of Continental Savings of America where he started the ""Solar T-Bill"" program to finance solar energy installations and also developed innovative programs to finance low and moderate income housing.  Mr. Dodson has served on the boards of a number of non-profit organizations.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=239
Rebecca  Adamson,Rebecca,Adamson,Founder and PresidentFirst Peoples Worldwide,"Rebecca Adamson, PhD, an Indigenous economist, Founder and President of First Peoples Worldwide, established First Nations Development Institute in 1980, and founded First Peoples Worldwide in 1997. A leader and activist, she utilizes the wisdom and paradigms of Indigenous economics, advocacy, and engagement of corporate social responsibility as tools to catalyze change.  Her work established the first microenterprise loan fund in the United States, the first national tribal CDFI intermediary and Calvert Foundation â€˜community notesâ€™. Ms. Adamson created the first Indigenous Peoples' rights investment screen in 1999, published the first quantitative risk assessment of Indigenous Rights and established the Shareholder Advocacy Leadership Training Program for Indigenous leaders in addressing extractive industry. Among many awards, Ms. Adamson is honored in the National Womenâ€™s History Project, and as one of Americaâ€™s most influential women as part of the PBS program MAKERS: Women Who Make America.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=238
Hazel  Henderson,Hazel,Henderson,PresidentEthical Markets Media,"Hazel Henderson, D.Sc.Hon., FRSA, president, Ethical Markets Media (USA and Brazil), Certified B Corporation, is a futurist; evolutionary economist; author of award-winning Ethical Markets: Growing the Green Economy and many other books.  She created the Ethical Markets TV series in global distribution, the EthicMarkÂ® Awards, the Green Transition ScoreboardÂ®, and co-created Ethical Biomimicry FinanceÂ®.  Ms. Henderson is syndicated by Inter Press Service, and her articles appear in journals worldwide.  She advised the U.S. Office of Technology Assessment, National Academy of Engineering and National Science Foundation.   An Honorary Member of the Club of Rome, Ms. Henderson shared the 1996 Global Citizen Award with Nobelist A. Perez Esquivel. In 2012, she received the Reuters Award for Outstanding Contribution to ESG & Investing, and in 2014 was again honored as a ""Top 100 Thought Leader in Trustworthy Business Behavior"" by Trust Across America.  ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=237
Steve  Lydenberg,Steve,Lydenberg,"Partner, Strategic Vision Domini Social Investments LLC","Steve Lydenberg, CFAÂ®, is Partner, Strategic Vision for Domini Social Investments LLC, Founder and CEO of The Investment Integration Project, and Founding Director of the Initiative for Responsible Investment at the Hauser Institute for Civil Society at Harvard University. For over three decades he has been active in responsible investment with the Council on Economic Priorities, Trillium Asset Management and KLD Research & Analytics. He is author of numerous articles on responsible investment including â€œReason, Rationality and Fiduciary Dutyâ€ù (Journal of Business Ethics) and â€œOn Materiality and Sustainability: The Value of Disclosure in the Capital Marketsâ€ù (Initiative for Responsible Investment). He is also author and co-author of several books on responsible investment including Corporations and the Public Interest (Berrett-Koehler) and Dilemmas in Responsible Investment (Greenleaf). ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=236
Jon  Lukomnik,Jon,Lukomnik,"Executive DirectorInvestor Responsibility Center Institute (IRRCi)Managing PartnerSinclair Capital, LLC","Jon Lukomnik serves as Executive Director of the Investor Responsibility Center Institute. He co-founded the International Corporate Governance Network (ICGN) and GovernanceMetrics International (now part of MSCI), and served as interim chair of the Council of Institutional Investorsâ€™ executive committee.  Mr. Lukomnik is author of What They Do with Your Money: How the Financial System Fails Us and How to Fix It (Yale University Press, 2016) which has been honored by former UK Prime Minister Gordon Brown, and has received editorial kudos from The Economist. He has been honored by the International Corporate Governance Network (ICGN), the National Association of Corporate Directors (NACD), Ethisphere Magazine and Global Proxy Watch, among others.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=282
Anna  Cummins,Anna,Cummins,"Co-founder, Executive DirectorThe 5 Gyres Institute","Anna Cummins is Co-founder and Executive Director of The 5 Gyres Institute.  In 2008, she completed a month long, 4,000-mile research expedition studying plastic debris in the North Pacific Gyre. The journey inspired her and her husband, Dr. Marcus Eriksen, to co-found 5 Gyres in 2009, with a goal of communicating marine plastic pollution on a global level, and engaging communities in solutions.  Ms. Cummins has spent the last 20 years working in the environmental field, in marine conservation, coastal watershed management, bilingual outreach, and sustainability education.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=283
Sarah  Wilson,Sarah,Wilson,"Associate, Responsible Investment TeamTIAA","Sarah Wilson is an Associate and member of TIAAâ€™s Responsible Investment Team. Her responsibilities include the integration of environmental, social and governance (ESG) factors in the investment process across asset classes, with a focus on fixed income. She also focuses on measuring and tracking the social and environmental impact of the firmâ€™s public and private investments. Ms. Wilson joined the TIAA Global Asset Management organization in 2015. Previously, she managed corporate sustainability reporting and renewable energy credit portfolios for Green Mountain Energy, a subsidiary of NRG, and interned with the renewable energy project finance team at Bank of America Merrill Lynch. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=280
Jon  Hale,Jon,Hale,Head of Sustainability ResearchMorningstar,"Jon Hale, Ph.D., CFA, is head of sustainability research for Morningstar where he directs the companyâ€™s research initiatives on sustainable investing, beginning with the launch of the Morningstar Sustainability Ratings for funds in 2016.  Previously, Dr. Hale was director of manager research, North America, for Morningstar.  Dr. Hale first joined Morningstar in 1995 as a mutual fund analyst and helped launch the institutional investment consulting business for Morningstar in 1998. He left the company in 1999 to work for Domini Social Investments, LLC before rejoining Morningstar as a senior investment consultant in 2001. He became managing consultant in 2009 and head of the Investment Advisory unit in 2014.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=281
Courtney  Pullen,Courtney,Pullen,PresidentPullen Consulting Group,"Courtney Pullen is the President of the Pullen Consulting Group. He has more than 20 years of experience as an innovative leader in family wealth consulting. As a psychotherapist, business and organizational consultant and pioneer of wealth psychology, he blends these modalities into a powerful model to support family businesses or enterprises. Mr. Pullen is the author of Intentional Wealth: How Families Build Legacies of Stewardship and Financial Health. He has been quoted by numerous publications including The Wall Street Journal, and Barronâ€™s.   He is on CPWA faculty at the University of Chicago, Booth School of Business, as well as the Sudden Money Institute.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=286
Lia  Mandaglio Parifax,Lia,Mandaglio Parifax,Executive Initiatives DirectorArcus Foundation,"Lia Mandaglio Parifax, JD is Executive Initiatives Director at Arcus Foundation, an attorney and civil rights activist . Prior to joining Arcus, she served as Managing Director, Global Initiatives at Out Leadership, a strategic advisory firm specializing in LGBT talent and business development. In 2011, Ms. Parifax co-founded Athlete Ally, a nonprofit organization advancing LGBT rights through sports. She has contributed to several opinion pieces in outlets like The Huffington Post and CNN. In March 2014, she was named with her husband to Vanity Fair's Hall of Fame for her human rights advocacy leading up to the 2014 Winter Olympics in Sochi, Russia.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=328
Cindy  Rose,Cindy,Rose,Head of Research for Responsible InvestmentsAberdeen Asset Management,"Cindy Rose is Head of Research for Responsible Investments at Aberdeen Asset Management. She is responsible for conducting responsible investment research and analysis on companies invested by ethical funds.  Ms. Rose joined Aberdeen via the acquisition of Glasgow-based Murray Johnstone in 2000.  Previously, she was employed by the United States Tax Court based in Washington, D.C. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=284
Rebecca  Jackson,Rebecca,Jackson,"Strategic ConsultantFirst Affirmative Financial Network, LLC","Rebecca Jackson is a consultant and advisor to financial firms. With a background in investment banking and management consulting, Ms. Jackson has gained experience across strategy, operations, sales and business development, communications and marketing, and compensation and talent management. Since leaving investment banking in 2011, she has worked with a number of firms including as the Chief Operations Officer of a personal finance platform, GoGirl Finance, and as Interim Director of Strategy and Operations for SHE Summit, the leadership and lifestyle event for women. Ms. Jacksonâ€™s interest in personal and profession reinvention includes discovering how careers impact our identities. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=285
